iter	RMSE
0	73.97376325
1	72.162067
2	70.53423917
3	68.80483548
4	67.06945554
5	65.59237007
6	64.05753919
7	62.52796571
8	61.18176039
9	59.79264902
10	58.49539896
11	57.14432147
12	55.94646706
13	54.66980547
14	53.42610412
15	52.2240999
16	51.03581966
17	49.91384349
18	48.89124123
19	47.83968828
20	46.7638686
21	45.74040566
22	44.81012431
23	43.85776389
24	42.9525741
25	42.1313914
26	41.32292509
27	40.46004775
28	39.62938982
29	38.84019613
30	38.18649667
31	37.50818083
32	36.827588
33	36.16402235
34	35.48969871
35	34.8998226
36	34.2780253
37	33.69123799
38	33.09677504
39	32.59193979
40	32.03785527
41	31.50384438
42	31.00369622
43	30.51174295
44	30.02971219
45	29.54673234
46	29.10364103
47	28.6674974
48	28.25183097
49	27.80596458
50	27.40629457
51	27.03517406
52	26.67129326
53	26.33231742
54	25.98643054
55	25.70693543
56	25.4021879
57	25.10565983
58	24.79645659
59	24.48499472
60	24.20886188
61	23.92667922
62	23.65858129
63	23.39294866
64	23.1494223
65	22.93000653
66	22.70545946
67	22.45555053
68	22.21132255
69	22.02739409
70	21.84150946
71	21.61468769
72	21.40142429
73	21.20240215
74	21.03668301
75	20.86810483
76	20.71462424
77	20.55237693
78	20.37542521
79	20.22940984
80	20.05609706
81	19.92197684
82	19.76325836
83	19.63708367
84	19.50101873
85	19.35631816
86	19.20851967
87	19.08135749
88	18.95578824
89	18.83987512
90	18.70701611
91	18.58399981
92	18.48916387
93	18.39688394
94	18.29255014
95	18.18115104
96	18.0591038
97	17.95772127
98	17.87529505
99	17.77323305
100	17.67137755
101	17.57955733
102	17.49599191
103	17.38498497
104	17.28720734
105	17.19922824
106	17.12654191
107	17.05476423
108	16.99181044
109	16.93119745
110	16.85130478
111	16.79588242
112	16.72765047
113	16.6540658
114	16.5884572
115	16.51262367
116	16.4409785
117	16.38882078
118	16.33249626
119	16.2815443
120	16.21658089
121	16.15708899
122	16.11200818
123	16.07042829
124	16.02848725
125	15.98636119
126	15.94814227
127	15.9042371
128	15.87034793
129	15.81745619
130	15.76488867
131	15.71911525
132	15.67979173
133	15.64055899
134	15.5915813
135	15.55359079
136	15.525136
137	15.48245757
138	15.44854197
139	15.41493151
140	15.38233019
141	15.35529307
142	15.31970949
143	15.28523404
144	15.25295094
145	15.22317188
146	15.18825069
147	15.16189255
148	15.14530676
149	15.11279929
150	15.09076195
151	15.06134293
152	15.0327382
153	15.00372691
154	14.96103293
155	14.93325106
156	14.91326834
157	14.8907358
158	14.86856135
159	14.84152607
160	14.81612636
161	14.78890949
162	14.76027389
163	14.73837125
164	14.71158617
165	14.69422493
166	14.67222419
167	14.6560725
168	14.62988501
169	14.61371704
170	14.59826269
171	14.58078997
172	14.56705272
173	14.54452868
174	14.52720564
175	14.50148005
176	14.48378769
177	14.46217077
178	14.4441322
179	14.42612589
180	14.40299369
181	14.37588151
182	14.35689967
183	14.34884433
184	14.3302917
185	14.31495037
186	14.29890886
187	14.28347717
188	14.2619208
189	14.24625528
190	14.23275235
191	14.22389641
192	14.21082096
193	14.19994584
194	14.18471513
195	14.17017919
196	14.16029002
197	14.14537641
198	14.13245073
199	14.11818042
200	14.10235875
201	14.08583076
202	14.07654464
203	14.06163923
204	14.04444823
205	14.02508183
206	14.01241409
207	13.99392128
208	13.98524815
209	13.97491881
210	13.96605561
211	13.95617205
212	13.94689885
213	13.9343426
214	13.92360817
215	13.91298582
216	13.89067304
217	13.87396658
218	13.86353945
219	13.85235792
220	13.84080763
221	13.82921255
222	13.81053573
223	13.79980002
224	13.78561894
225	13.77338127
226	13.76682558
227	13.75072393
228	13.73667352
229	13.72627153
230	13.71981255
231	13.70990138
232	13.69883781
233	13.68171018
234	13.66591257
235	13.65265817
236	13.64462469
237	13.63764181
238	13.62771868
239	13.59747853
240	13.59085477
241	13.58598005
242	13.5763644
243	13.56825174
244	13.55764824
245	13.55021709
246	13.54226364
247	13.53625845
248	13.53145427
249	13.51720947
250	13.51145986
251	13.50596827
252	13.49785837
253	13.49154568
254	13.48288403
255	13.47586715
256	13.46814987
257	13.46091909
258	13.45585135
259	13.45059775
260	13.44591669
261	13.43022043
262	13.42362466
263	13.41248438
264	13.4080832
265	13.40086037
266	13.39270811
267	13.386745
268	13.38243339
269	13.36055404
270	13.35626914
271	13.34860013
272	13.33704447
273	13.33191442
274	13.32671045
275	13.32155456
276	13.29910182
277	13.29557935
278	13.29181775
279	13.276554
280	13.27085099
281	13.25740175
282	13.25361337
283	13.25172871
284	13.2465642
285	13.24351516
286	13.24070516
287	13.2349541
288	13.23195766
289	13.22892973
290	13.22565796
291	13.22304673
292	13.21471325
293	13.21143891
